# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Aug  4 21:24:29 2021
#
# User preference: *
#
# CONSTRAINT:  where (pl_name_display like '%Kepler%'
# CONSTRAINT:  and pl_orbperstr > 0
# CONSTRAINT:  and pl_orbsmaxstr > 0
# CONSTRAINT:  and pl_radjstr > 0
# CONSTRAINT:  and pl_orbinclstr > 0
# CONSTRAINT:  and pl_tranmidstr > 0
# CONSTRAINT:  and st_teffstr > 0
# CONSTRAINT:  and st_radstr > 0
# CONSTRAINT:  and st_massstr > 0)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_tranmiderr1: Transit Midpoint Upper Unc. [days]
# COLUMN pl_tranmiderr2: Transit Midpoint Lower Unc. [days]
# COLUMN pl_tranmidlim:  Transit Midpoint Limit Flag
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
#
pl_name,hostname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim
Kepler-235 e,Kepler-235,46.18406000,0.00027000,-0.00027000,0,0.201200,0.002200,-0.003400,0,0.179,0.009,-0.009,0,89.997,0.002,-0.052,0,2454998.237600,0.003900,-0.003900,0,3996.00,55.00,-55.00,0,0.49,0.02,-0.03,0,0.51,0.02,-0.02,0
Kepler-705 b,Kepler-705,56.05623000,0.00019000,-0.00019000,0,0.232000,0.003700,-0.002200,0,0.246,0.013,-0.020,0,89.990,0.004,-0.060,0,2455034.164800,0.002600,-0.002600,0,3674.00,40.00,-40.00,0,0.50,0.02,-0.02,0,0.53,0.02,-0.02,0
Kepler-1455 b,Kepler-1455,49.27668000,0.00068000,-0.00068000,0,0.214900,0.005500,-0.005400,0,0.172,0.017,-0.018,0,89.693,0.005,-0.089,0,2454990.026700,0.011700,-0.011700,0,3950.00,113.00,-113.00,0,0.52,0.04,-0.05,0,0.54,0.04,-0.05,0
Kepler-155 b,Kepler-155,5.93119240,0.00000420,-0.00000420,0,0.052600,0.002200,-0.003100,0,0.154,0.025,-0.024,0,89.880,0.002,-0.370,0,2455007.797170,0.000590,-0.000590,0,4057.00,251.00,-64.00,0,0.53,0.04,-0.14,0,0.54,0.05,-0.12,0
Kepler-155 c,Kepler-155,52.66156000,0.00011100,-0.00011100,0,0.225400,0.009200,-0.013900,0,0.176,0.017,-0.043,0,89.495,0.009,-0.032,0,2455016.518800,0.001800,-0.001800,0,4057.00,251.00,-64.00,0,0.53,0.04,-0.14,0,0.54,0.05,-0.12,0
Kepler-186 f,Kepler-186,129.94410000,0.00130000,-0.00120000,0,0.432000,0.171000,-0.053000,0,0.104,0.007,-0.007,0,89.960,0.040,-0.100,0,2455789.494000,0.003600,-0.004100,0,3755.00,90.00,-90.00,0,0.52,0.02,-0.02,0,0.54,0.02,-0.02,0
Kepler-438 b,Kepler-438,35.23319000,0.00025000,-0.00029000,0,0.166000,0.051000,-0.042000,0,0.100,0.010,-0.020,0,89.860,0.140,-0.320,0,2455673.030700,0.004400,-0.003200,0,3748.00,112.00,-112.00,0,0.52,0.04,-0.06,0,0.54,0.04,-0.06,0
Kepler-440 b,Kepler-440,101.11141000,0.00087000,-0.00068000,0,0.242000,0.066000,-0.041000,0,0.170,0.020,-0.020,0,89.930,0.070,-0.180,0,2455756.298600,0.002800,-0.002700,0,4134.00,154.00,-154.00,0,0.56,0.03,-0.05,0,0.57,0.04,-0.05,0
Kepler-441 b,Kepler-441,207.24820000,0.00220000,-0.00200000,0,0.640000,0.320000,-0.130000,0,0.150,0.020,-0.020,0,89.970,0.030,-0.070,0,2455667.776400,0.004000,-0.006500,0,4340.00,177.00,-177.00,0,0.55,0.04,-0.05,0,0.57,0.05,-0.05,0
Kepler-45 b,Kepler-45,2.45524122,0.00000065,-0.00000065,0,0.029540,0.001010,-0.001010,0,0.999,0.069,-0.069,0,87.480,0.380,-0.380,0,2455160.956396,0.000031,-0.000031,0,3820.00,90.00,-90.00,0,0.54,0.04,-0.04,0,0.57,0.06,-0.06,0
Kepler-395 b,Kepler-395,7.05425900,0.00002700,-0.00002700,0,0.059930,0.000790,-0.000780,0,0.106,0.005,-0.008,0,88.360,0.001,-0.140,0,2454969.195800,0.003700,-0.003700,0,3931.00,47.00,-47.00,0,0.55,0.02,-0.02,0,0.58,0.02,-0.02,0
Kepler-395 c,Kepler-395,34.98956000,0.00022000,-0.00022000,0,0.174300,0.002300,-0.002300,0,0.119,0.006,-0.006,0,89.960,0.002,-0.077,0,2454977.215400,0.006300,-0.006300,0,3931.00,47.00,-47.00,0,0.55,0.02,-0.02,0,0.58,0.02,-0.02,0
Kepler-1410 b,Kepler-1410,60.86628000,0.00049000,-0.00049000,0,0.254300,0.004300,-0.003800,0,0.192,0.011,-0.015,0,89.750,0.004,-0.052,0,2455012.284700,0.006900,-0.006900,0,3950.00,56.00,-56.00,0,0.57,0.02,-0.03,0,0.59,0.03,-0.03,0
Kepler-45 b,Kepler-45,2.45523390,0.00000480,-0.00000480,0,0.029870,0.000990,-0.001000,0,0.960,0.110,-0.110,0,87.000,0.700,-0.700,0,2455374.562419,0.000092,-0.000092,0,3820.00,90.00,-90.00,0,0.55,0.11,-0.11,0,0.59,0.06,-0.06,0
Kepler-442 b,Kepler-442,112.30530000,0.00240000,-0.00280000,0,0.409000,0.209000,-0.060000,0,0.120,0.010,-0.020,0,89.940,0.060,-0.120,0,2455849.557800,0.006700,-0.005600,0,4402.00,100.00,-100.00,0,0.60,0.02,-0.02,0,0.61,0.03,-0.03,0
Kepler-16 b,Kepler-16,228.77600000,0.02000000,-0.03700000,0,0.704800,0.001100,-0.001100,0,0.754,0.003,-0.003,0,90.032,0.002,-0.002,0,2455212.123160,,,0,4450.00,150.00,-150.00,0,0.65,0.00,0.00,0,0.69,0.00,0.00,0
Kepler-62 b,Kepler-62,5.71493200,0.00000900,-0.00000900,0,0.055300,0.000500,-0.000500,0,0.117,0.004,-0.004,0,89.200,0.400,-0.400,0,2455003.918900,0.000900,-0.000900,0,4925.00,70.00,-70.00,0,0.64,0.02,-0.02,0,0.69,0.02,-0.02,0
Kepler-62 c,Kepler-62,12.44170000,0.00010000,-0.00010000,0,0.092900,0.000900,-0.000900,0,0.048,0.003,-0.003,0,89.700,0.200,-0.200,0,2454967.651000,0.008000,-0.008000,0,4925.00,70.00,-70.00,0,0.64,0.02,-0.02,0,0.69,0.02,-0.02,0
Kepler-62 d,Kepler-62,18.16406000,0.00002000,-0.00002000,0,0.120000,0.001000,-0.001000,0,0.174,0.006,-0.006,0,89.700,0.300,-0.300,0,2455013.811700,0.000800,-0.000800,0,4925.00,70.00,-70.00,0,0.64,0.02,-0.02,0,0.69,0.02,-0.02,0
Kepler-62 e,Kepler-62,122.38740000,0.00080000,-0.00080000,0,0.427000,0.004000,-0.004000,0,0.144,0.004,-0.004,0,89.980,0.020,-0.020,0,2454983.404000,0.003000,-0.003000,0,4925.00,70.00,-70.00,0,0.64,0.02,-0.02,0,0.69,0.02,-0.02,0
Kepler-62 f,Kepler-62,267.29100000,0.00500000,-0.00500000,0,0.718000,0.007000,-0.007000,0,0.126,0.006,-0.006,0,89.900,0.030,-0.030,0,2455422.710000,0.006000,-0.006000,0,4925.00,70.00,-70.00,0,0.64,0.02,-0.02,0,0.69,0.02,-0.02,0
Kepler-437 b,Kepler-437,66.65062000,0.00033000,-0.00032000,0,0.288000,0.066000,-0.040000,0,0.190,0.020,-0.020,0,89.900,0.100,-0.230,0,2455670.687600,0.002300,-0.002300,0,4551.00,100.00,-100.00,0,0.68,0.03,-0.02,0,0.71,0.03,-0.03,0
Kepler-1593 b,Kepler-1593,174.50850000,0.00290000,-0.00290000,0,0.546000,0.011200,-0.004800,0,0.260,0.015,-0.022,0,89.847,0.011,-0.050,0,2455034.482000,0.014000,-0.014000,0,4745.00,100.00,-100.00,0,0.70,0.03,-0.03,0,0.72,0.03,-0.03,0
Kepler-1653 b,Kepler-1653,140.25240000,0.00300000,-0.00300000,0,0.470600,0.009800,-0.004100,0,0.194,0.014,-0.021,0,89.788,0.010,-0.053,0,2455008.134000,0.017000,-0.017000,0,4807.00,100.00,-100.00,0,0.69,0.03,-0.02,0,0.72,0.04,-0.03,0
Kepler-436 b,Kepler-436,64.00205000,0.00072000,-0.00072000,0,0.339000,0.134000,-0.053000,0,0.240,0.020,-0.020,0,89.930,0.070,-0.180,0,2455477.630700,0.004200,-0.004900,0,4651.00,100.00,-100.00,0,0.70,0.03,-0.02,0,0.73,0.03,-0.03,0
Kepler-80 b,Kepler-80,7.05246000,0.00020000,-0.00022000,0,0.064800,0.000900,-0.000900,0,0.238,0.009,-0.009,0,89.340,0.460,-0.620,0,2455658.399000,0.002000,-0.001000,0,4540.00,100.00,-100.00,0,0.68,0.02,-0.02,0,0.73,0.03,-0.03,0
Kepler-80 c,Kepler-80,9.52355000,0.00041000,-0.00029000,0,0.079200,0.001100,-0.001100,0,0.244,0.011,-0.009,0,89.330,0.470,-0.570,0,2455696.047000,0.001000,-0.001000,0,4540.00,100.00,-100.00,0,0.68,0.02,-0.02,0,0.73,0.03,-0.03,0
Kepler-80 d,Kepler-80,3.07222000,0.00006000,-0.00004000,0,0.037200,0.000500,-0.000500,0,0.136,0.008,-0.006,0,88.350,1.120,-1.510,0,2455695.129000,0.002000,-0.001000,0,4540.00,100.00,-100.00,0,0.68,0.02,-0.02,0,0.73,0.03,-0.03,0
Kepler-80 e,Kepler-80,4.64489000,0.00020000,-0.00019000,0,0.049100,0.000700,-0.000700,0,0.143,0.007,-0.006,0,88.790,0.840,-1.070,0,2455696.915000,0.002000,-0.002000,0,4540.00,100.00,-100.00,0,0.68,0.02,-0.02,0,0.73,0.03,-0.03,0
Kepler-1544 b,Kepler-1544,168.81160000,0.00200000,-0.00200000,0,0.542100,0.006900,-0.008800,0,0.160,0.007,-0.011,0,89.797,0.007,-0.022,0,2455044.442000,0.007500,-0.007500,0,4820.00,100.00,-100.00,0,0.71,0.03,-0.03,0,0.74,0.03,-0.03,0
Kepler-443 b,Kepler-443,177.66930000,0.00310000,-0.00300000,0,0.495000,0.186000,-0.075000,0,0.210,0.020,-0.020,0,89.940,0.060,-0.130,0,2455630.246000,0.007600,-0.007700,0,4723.00,100.00,-100.00,0,0.71,0.03,-0.02,0,0.74,0.03,-0.03,0
Kepler-444 b,Kepler-444,3.60010530,0.00000830,-0.00000800,0,0.041780,0.000790,-0.000790,0,0.036,0.001,-0.001,0,88.000,1.200,-0.600,0,2454966.259900,0.001800,-0.001800,0,5046.00,74.00,-74.00,0,0.75,0.01,-0.01,0,0.76,0.04,-0.04,0
Kepler-444 c,Kepler-444,4.54588410,0.00000700,-0.00000710,0,0.048810,0.000930,-0.000930,0,0.044,0.002,-0.002,0,88.200,1.200,-1.000,0,2454964.522000,0.001300,-0.001300,0,5046.00,74.00,-74.00,0,0.75,0.01,-0.01,0,0.76,0.04,-0.04,0
Kepler-444 d,Kepler-444,6.18939200,0.00001200,-0.00001200,0,0.060000,0.001100,-0.001100,0,0.047,0.002,-0.002,0,88.160,0.810,-0.550,0,2454967.786900,0.001500,-0.001500,0,5046.00,74.00,-74.00,0,0.75,0.01,-0.01,0,0.76,0.04,-0.04,0
Kepler-444 e,Kepler-444,7.74349300,0.00001700,-0.00001600,0,0.069600,0.001300,-0.001300,0,0.049,0.002,-0.001,0,89.130,0.540,-0.520,0,2454968.092700,0.001800,-0.001800,0,5046.00,74.00,-74.00,0,0.75,0.01,-0.01,0,0.76,0.04,-0.04,0
Kepler-444 f,Kepler-444,9.74048600,0.00001300,-0.00001300,0,0.081100,0.001500,-0.001500,0,0.066,0.004,-0.004,0,87.960,0.360,-0.310,0,2454967.879100,0.001100,-0.001100,0,5046.00,74.00,-74.00,0,0.75,0.01,-0.01,0,0.76,0.04,-0.04,0
Kepler-167 b,Kepler-167,4.39316320,0.00000460,-0.00000450,0,0.048300,0.001700,-0.002500,0,0.144,0.004,-0.004,0,89.330,0.470,-0.800,0,2455831.783170,0.000340,-0.000360,0,4890.00,50.00,-50.00,0,0.73,0.02,-0.01,0,0.77,0.02,-0.03,0
Kepler-167 c,Kepler-167,7.40611400,0.00001200,-0.00001100,0,0.068400,0.024000,-0.003500,0,0.138,0.004,-0.004,0,89.300,0.360,-0.430,0,2455552.157740,0.001290,-0.000840,0,4890.00,50.00,-50.00,0,0.73,0.02,-0.01,0,0.77,0.02,-0.03,0
Kepler-167 d,Kepler-167,21.80385500,0.00007800,-0.00011900,0,0.140500,0.005000,-0.007100,0,0.107,0.004,-0.004,0,89.352,0.090,-0.140,0,2455669.793400,0.001500,-0.001800,0,4890.00,50.00,-50.00,0,0.73,0.02,-0.01,0,0.77,0.02,-0.03,0
Kepler-167 e,Kepler-167,1071.23228000,0.00056000,-0.00056000,0,1.890000,0.058000,-0.067000,0,0.906,0.021,-0.021,0,89.976,0.007,-0.005,0,2455253.286990,0.000390,-0.000400,0,4890.00,50.00,-50.00,0,0.73,0.02,-0.01,0,0.77,0.02,-0.03,0
Kepler-421 b,Kepler-421,704.19840000,0.00160000,-0.00160000,0,1.219000,0.089000,-0.089000,0,0.371,0.017,-0.014,0,89.965,0.024,-0.031,0,2455325.767400,0.001200,-0.001200,0,5308.00,50.00,-50.00,0,0.76,0.03,-0.03,0,0.79,0.03,-0.03,0
Kepler-37 b,Kepler-37,13.36730800,0.00005800,-0.00008500,0,0.100300,0.000800,-0.001100,0,0.027,0.005,-0.007,0,88.630,0.300,-0.530,0,2455017.032710,0.000340,-0.000890,0,5417.00,75.00,-75.00,0,0.77,0.03,-0.03,0,0.80,0.07,-0.07,0
Kepler-37 c,Kepler-37,21.30188600,0.00004600,-0.00004400,0,0.136800,0.001100,-0.001400,0,0.066,0.006,-0.007,0,89.070,0.190,-0.330,0,2455024.838160,0.000360,-0.000780,0,5417.00,75.00,-75.00,0,0.77,0.03,-0.03,0,0.80,0.07,-0.07,0
Kepler-37 d,Kepler-37,39.79218700,0.00004000,-0.00004300,0,0.207600,0.001600,-0.002200,0,0.178,0.010,-0.012,0,89.335,0.043,-0.047,0,2455008.249790,0.000430,-0.000490,0,5417.00,75.00,-75.00,0,0.77,0.03,-0.03,0,0.80,0.07,-0.07,0
Kepler-69 b,Kepler-69,13.72234100,0.00003500,-0.00003600,0,0.094000,0.023000,-0.016000,0,0.200,0.039,-0.026,0,89.620,0.260,-0.450,0,2454970.841400,0.001600,-0.001600,0,5638.00,168.00,-168.00,0,0.93,0.18,-0.12,0,0.81,0.09,-0.08,0
Kepler-69 c,Kepler-69,242.46130000,0.00590000,-0.00640000,0,0.640000,0.150000,-0.110000,0,0.153,0.030,-0.021,0,89.850,0.030,-0.080,0,2454983.870000,0.016000,-0.014000,0,5638.00,168.00,-168.00,0,0.93,0.18,-0.12,0,0.81,0.09,-0.08,0
Kepler-1638 b,Kepler-1638,259.36500000,0.01400000,-0.01400000,0,0.745000,0.021000,-0.020000,0,0.143,0.029,-0.017,0,89.995,0.002,-0.084,0,2454998.600000,0.042000,-0.042000,0,5906.00,183.00,-147.00,0,0.83,0.19,-0.07,0,0.82,0.09,-0.05,0
Kepler-413 b,Kepler-413,66.26200000,0.02400000,-0.02100000,0,0.355300,0.002000,-0.001800,0,0.388,0.009,-0.009,0,89.929,0.024,-0.016,0,2455096.640000,0.160000,-0.170000,0,4700.00,,,0,0.78,0.01,-0.01,0,0.82,0.01,-0.01,0
Kepler-411 b,Kepler-411,3.00516000,0.00001000,-0.00001000,0,0.038000,0.001000,-0.001000,0,0.168,0.018,-0.018,0,88.270,1.730,-1.830,0,2454970.102700,,,0,4974.00,46.00,-51.00,0,0.79,0.07,-0.06,0,0.83,0.04,-0.10,0
Kepler-1661 b,Kepler-1661,175.06000000,0.06000000,-0.06000000,0,0.633000,0.005000,-0.005000,0,0.345,0.005,-0.005,0,89.460,0.020,-0.020,0,2456007.100000,0.400000,-0.400000,0,5100.00,100.00,-100.00,0,0.76,0.01,-0.01,0,0.84,0.02,-0.02,0
Kepler-423 b,Kepler-423,2.68432850,0.00000007,-0.00000007,0,0.035850,0.000520,-0.001140,0,1.192,0.052,-0.052,0,87.828,0.126,-0.126,0,2454966.354810,0.000021,-0.000021,0,5560.00,80.00,-80.00,0,0.95,0.04,-0.04,0,0.85,0.04,-0.04,0
Kepler-423 b,Kepler-423,2.68432850,0.00000007,-0.00000007,0,0.035820,0.000560,-0.000570,0,1.192,0.052,-0.052,0,87.830,0.130,-0.130,0,2454966.354810,0.000021,-0.000021,0,5560.00,80.00,-80.00,0,0.95,0.04,-0.04,0,0.85,0.04,-0.04,0
Kepler-428 b,Kepler-428,3.52563254,0.00000015,-0.00000015,0,0.043300,0.000900,-0.000900,0,1.080,0.030,-0.030,0,89.360,0.430,-0.430,0,2455003.048008,0.000032,-0.000032,0,5150.00,100.00,-100.00,0,0.80,0.02,-0.02,0,0.87,0.05,-0.05,0
Kepler-428 b,Kepler-428,3.52563254,0.00000015,-0.00000015,0,0.043310,0.000800,-0.000830,0,1.080,0.030,-0.030,0,89.360,0.430,-0.430,0,2455003.048008,0.000032,-0.000032,0,5150.00,100.00,-100.00,0,0.80,0.02,-0.02,0,0.87,0.05,-0.05,0
Kepler-439 b,Kepler-439,178.13960000,0.00160000,-0.00180000,0,0.563000,0.165000,-0.080000,0,0.200,0.010,-0.040,0,89.950,0.050,-0.120,0,2455399.398700,0.003900,-0.005400,0,5431.00,100.00,-100.00,0,0.87,0.08,-0.04,0,0.88,0.04,-0.04,0
Kepler-75 b,Kepler-75,8.88492400,0.00000200,-0.00000200,0,0.080000,0.005000,-0.005000,0,1.030,0.060,-0.060,0,89.100,0.600,-1.000,0,2455002.991000,0.000200,-0.000200,0,5330.00,120.00,-120.00,0,0.88,0.04,-0.04,0,0.88,0.06,-0.06,0
Kepler-35 b,Kepler-35,131.45800000,0.07700000,-0.10500000,0,0.603470,0.001010,-0.001030,0,0.728,0.014,-0.014,0,90.760,0.120,-0.090,0,2454965.850000,,,0,5606.00,150.00,-150.00,0,1.03,0.00,0.00,0,0.89,0.01,-0.01,0
Kepler-538 b,Kepler-538,81.73778000,0.00013000,-0.00013000,0,0.466900,0.008700,-0.009000,0,0.198,0.004,-0.003,0,89.730,0.140,-0.060,0,2455044.678900,0.001000,-0.001100,0,5547.00,50.00,-50.00,0,0.87,0.01,-0.01,0,0.89,0.05,-0.04,0
Kepler-10 b,Kepler-10,0.83749500,0.00000400,-0.00000500,0,0.016840,0.000320,-0.000340,0,0.126,0.003,-0.003,0,84.400,1.100,-1.600,0,2454964.573750,0.000600,-0.000820,0,5627.00,44.00,-44.00,0,1.06,0.02,-0.02,0,0.90,0.06,-0.06,0
Kepler-10 c,Kepler-10,45.29485000,0.00065000,-0.00076000,0,0.240700,0.004400,-0.005300,0,0.199,0.005,-0.005,0,89.650,0.090,-0.120,0,2454971.676100,0.002000,-0.002300,0,5627.00,44.00,-44.00,0,1.06,0.02,-0.02,0,0.90,0.06,-0.06,0
