# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Jul 29 05:50:43 2021
#
# User preference: *
#
# CONSTRAINT:  where (pl_name_display like '%Kepler%'
# CONSTRAINT:  and pl_orbperstr > 0
# CONSTRAINT:  and pl_orbsmaxstr > 0
# CONSTRAINT:  and pl_radjstr > 0
# CONSTRAINT:  and pl_orbeccenstr < 100
# CONSTRAINT:  and pl_eqtstr > 0
# CONSTRAINT:  and pl_orbinclstr < 5000
# CONSTRAINT:  and st_teffstr > 0
# CONSTRAINT:  and st_radstr > 0
# CONSTRAINT:  and st_massstr > 0)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
#
pl_name,hostname,pl_orbper,pl_orbsmax,pl_radj,pl_orbeccen,pl_eqt,pl_orbincl,st_teff,st_rad,st_mass
Kepler-44 b,Kepler-44,3.24674000,0.045500,1.240,0.021000,1603,83.780,5757.00,1.52,1.19
Kepler-1514 b,Kepler-1514,217.83184000,0.753000,1.108,0.401000,388,89.944,6145.00,1.29,1.20
Kepler-1514 c,Kepler-1514,10.51418100,0.099700,0.105,0.320000,1066,87.980,6145.00,1.29,1.20
Kepler-434 b,Kepler-434,12.87470990,0.114300,1.130,0.131000,1000,86.460,5977.00,1.38,1.20
Kepler-6 b,Kepler-6,3.23472300,0.045670,1.323,0.000000,1500,86.800,5647.00,1.39,1.21
Kepler-8 b,Kepler-8,3.52254000,0.048300,1.419,0.000000,1764,84.070,6213.00,1.49,1.21
Kepler-4 b,Kepler-4,3.21346000,0.045600,0.357,0.000000,1650,89.760,5857.00,1.49,1.22
Kepler-107 b,Kepler-107,3.18002180,0.045440,0.137,0.000000,1593,89.050,5854.00,1.45,1.24
Kepler-107 c,Kepler-107,4.90145200,0.060640,0.142,0.000000,1379,89.490,5854.00,1.45,1.24
Kepler-107 d,Kepler-107,7.95839000,0.083770,0.077,0.000000,1173,87.550,5854.00,1.45,1.24
Kepler-107 e,Kepler-107,14.74914300,0.126390,0.259,0.000000,955,89.670,5854.00,1.45,1.24
Kepler-43 b,Kepler-43,3.02409309,0.044400,1.160,0.017000,1628,84.570,6050.00,1.38,1.27
Kepler-105 b,Kepler-105,5.41220000,0.066000,0.429,0.470000,1418,85.940,6397.00,1.58,1.28
Kepler-39 b,Kepler-39,21.08721000,0.164000,1.240,0.112000,897,89.070,6350.00,1.40,1.29
Kepler-43 b,Kepler-43,3.02409500,0.044900,1.200,0.025000,1637,84.350,6041.00,1.42,1.32
Kepler-21 b,Kepler-21,2.78575500,0.042507,0.146,0.000000,1956,82.580,6131.00,1.86,1.34
Kepler-7 b,Kepler-7,4.88552500,0.062240,1.478,0.000000,1540,86.500,5933.00,1.84,1.35
Kepler-5 b,Kepler-5,3.54846000,0.050640,1.431,0.024000,1868,86.300,6297.00,1.79,1.37
Kepler-74 b,Kepler-74,7.34071800,0.084000,1.320,0.287000,1250,85.550,6050.00,1.51,1.40
Kepler-21 b,Kepler-21,2.78578000,0.042717,0.146,0.020000,2025,83.200,6305.00,1.90,1.41
Kepler-433 b,Kepler-433,5.33408384,0.067900,1.450,0.119000,1776,89.210,6360.00,2.26,1.46
Kepler-40 b,Kepler-40,6.87349000,0.080000,1.170,0.000000,1620,89.700,6510.00,2.13,1.48
Kepler-435 b,Kepler-435,8.60015360,0.094800,1.990,0.114000,1729,85.510,6161.00,3.21,1.54
